Project	Case_ID	Sample_Type	Raw_Count	Filtered_Count
TCGA-BRCA	7b605fb6-d077-401e-b870-b87ddf505f82	Blood Derived Normal	509	42
TCGA-BRCA	7b605fb6-d077-401e-b870-b87ddf505f82	Primary Tumor	380	27
TCGA-BRCA	7c2a8440-0206-4039-8474-8d62f6c7de0c	Blood Derived Normal	188	20
TCGA-BRCA	7c2a8440-0206-4039-8474-8d62f6c7de0c	Primary Tumor	320	39
TCGA-BRCA	7d9d3522-ec3b-4efe-8c8e-c0e675276ef5	Blood Derived Normal	305	11
TCGA-BRCA	7d9d3522-ec3b-4efe-8c8e-c0e675276ef5	Primary Tumor	749	87
TCGA-BRCA	80f3f48a-cc21-415c-b181-c77e7ba1c563	Blood Derived Normal	410	17
TCGA-BRCA	80f3f48a-cc21-415c-b181-c77e7ba1c563	Primary Tumor	766	83
TCGA-BRCA	81e7a3d3-be70-4834-8018-4d2cc077a4e6	Blood Derived Normal	359	17
TCGA-BRCA	81e7a3d3-be70-4834-8018-4d2cc077a4e6	Primary Tumor	516	44
TCGA-BRCA	8240c4ae-f878-4882-aa07-7857c7ac52cf	Blood Derived Normal	426	42
TCGA-BRCA	8240c4ae-f878-4882-aa07-7857c7ac52cf	Primary Tumor	362	47
TCGA-BRCA	8332806e-f547-4aae-89af-6d5bec831fd2	Blood Derived Normal	270	19
TCGA-BRCA	8332806e-f547-4aae-89af-6d5bec831fd2	Primary Tumor	264	32
TCGA-BRCA	844ad251-3ee4-42f6-ad00-59a7a1670eea	Blood Derived Normal	438	43
TCGA-BRCA	844ad251-3ee4-42f6-ad00-59a7a1670eea	Primary Tumor	434	40
TCGA-BRCA	853456d8-2367-404e-abc9-020fe8bbd209	Blood Derived Normal	120	22
TCGA-BRCA	858652b8-c4c2-41d8-be32-fdc88e1a7bb0	Solid Tissue Normal	153	29
TCGA-BRCA	8624354c-af25-423c-9c71-48a5dd821097	Blood Derived Normal	38	8
TCGA-BRCA	86b7b206-8e69-432d-acc9-bccce710955e	Blood Derived Normal	228	21
TCGA-BRCA	86b7b206-8e69-432d-acc9-bccce710955e	Primary Tumor	254	21
TCGA-BRCA	87f03d04-e651-4a6e-aea6-1c946aa46202	Blood Derived Normal	395	18
TCGA-BRCA	87f03d04-e651-4a6e-aea6-1c946aa46202	Primary Tumor	509	30
TCGA-BRCA	87f03d04-e651-4a6e-aea6-1c946aa46202	Solid Tissue Normal	518	42
TCGA-BRCA	88cd6ccc-70f7-436e-a99c-039b9d31e335	Blood Derived Normal	383	24
TCGA-BRCA	88cd6ccc-70f7-436e-a99c-039b9d31e335	Primary Tumor	696	71
TCGA-BRCA	8ace3b8c-f23e-48a9-a137-9e046bd9549b	Blood Derived Normal	317	25
TCGA-BRCA	8ace3b8c-f23e-48a9-a137-9e046bd9549b	Primary Tumor	254	25
TCGA-BRCA	8bd68696-5eeb-46d7-9dc6-c39c849029a4	Blood Derived Normal	181	15
TCGA-BRCA	8bd68696-5eeb-46d7-9dc6-c39c849029a4	Primary Tumor	453	53
TCGA-BRCA	8cccf160-93e9-48a5-9b8b-54aa50153142	Blood Derived Normal	1349	151
TCGA-BRCA	8cccf160-93e9-48a5-9b8b-54aa50153142	Primary Tumor	306	5
TCGA-BRCA	8cf8b620-7ab6-4b6e-84bc-ff5a83f381fa	Blood Derived Normal	159	15
TCGA-BRCA	8cf8b620-7ab6-4b6e-84bc-ff5a83f381fa	Primary Tumor	295	45
TCGA-BRCA	91a2f2af-e4b1-4a0b-ab20-6a36ce63c533	Solid Tissue Normal	1107	141
TCGA-BRCA	93ed6066-b567-4e1c-ab81-23370f9d3452	Blood Derived Normal	276	14
TCGA-BRCA	93ed6066-b567-4e1c-ab81-23370f9d3452	Primary Tumor	569	37
TCGA-BRCA	93ed6066-b567-4e1c-ab81-23370f9d3452	Solid Tissue Normal	506	52
TCGA-BRCA	9416ff9b-6f29-4554-b04d-b537a3ae3969	Blood Derived Normal	65	14
TCGA-BRCA	9536bec0-dae0-4d63-a1b3-956741835243	Blood Derived Normal	116	9
TCGA-BRCA	9536bec0-dae0-4d63-a1b3-956741835243	Primary Tumor	140	16
TCGA-BRCA	96312510-c126-485d-8109-ed81844a1dc3	Blood Derived Normal	38	3
TCGA-BRCA	96312510-c126-485d-8109-ed81844a1dc3	Primary Tumor	159	25
TCGA-BRCA	96457ebf-ae88-41f4-97e5-cdc3163418aa	Blood Derived Normal	304	21
